babyname,sex,origin
Geneene,girl,Unknown
Asim,boy,Arabic
Adria,girl,Latin
Korall,girl,Latin
Spiros,boy,Greek
Teal,girl,British
Boas,boy,Hebrew
Bekki,girl,Hebrew
Julyette,girl,Latin
Omeira,girl,Unknown
Darrene,girl,Unknown
Ursella,girl,Scandinavian
Ruzena,girl,Latin
Hamilcar,boy,Unknown
Giovana,girl,Italian
Tehilla,girl,Hebrew
Ellfryda,girl,German
Kaity,girl,Greek
Leilah,girl,Arabic
Angelyn,girl,Greek
Kelie,girl,Unknown
Mort,boy,Hebrew
Gunter,boy,German
Evgeni,boy,Unknown
Parthenios,boy,Greek
Halelehua,girl,Unknown
Janella,girl,Hebrew
Kiko,girl,Japanese
Alessandrina,girl,Greek
Allis,girl,German
Whittley,girl,British
Sabrinah,girl,Unknown
Dian,girl,Latin
Rustin,boy,British
Severiano,boy,Unknown
Simmone,girl,Unknown
Sean-Patrick,boy,Irish
Olida,girl,Latin
Land,boy,Spanish
Jerrell,boy,British
Veina,girl,Spanish
Tiahna,girl,Russian
Rosalen,girl,German
Tybie,girl,Unknown
Yesmeen,girl,Unknown
Kwang,boy,Unknown
Ervette,girl,British
Natifah,girl,Arabic
Kat,girl,Greek
Louann,girl,Hawaiian
Elda,girl,Italian
Rozelund,girl,Unknown
Darnelle,girl,British
Appoline,girl,Greek
Arran,boy,Scottish
Bianey,girl,Italian
Kaimi,boy,Hawaiian
Ankur,boy,Sanskrit
Sesilia,girl,Welsh
Tiffiany,girl,Unknown
Cora,girl,Greek
Lysbet,girl,Hebrew
Albanus,boy,Latin
Christinia,girl,Latin
Auron,boy,Hebrew
Shaylah,girl,Irish
Wilfreda,girl,British
Primetta,girl,Latin
Aggie,girl,Greek
Brennin,boy,Irish
Oula,girl,Norse
Zarek,boy,Polish
Sauncho,boy,Latin
Chicky,girl,Spanish
Shahira,girl,Unknown
Abdu,boy,Arabic
Marciane,girl,Latin
Ostia,girl,Unknown
Alfi,girl,German
Signild,girl,Scandinavian
Tineke,girl,Latin
Guryon,boy,Hebrew
Honorine,girl,Latin
Ellon,girl,Greek
Gracianna,girl,Unknown
Lachelle,girl,Hebrew
Marseea,girl,Latin
Josphine,girl,Unknown
Angelmo,boy,Greek
Honekakala,girl,Unknown
Kalei,girl,Hawaiian
Jaron,boy,Hebrew
Raeana,girl,Unknown
Irwina,girl,British
Eyton,boy,British
Charlena,girl,German
Loucille,girl,French
Kielly,girl,Unknown
Priscill,girl,Unknown
Guillelmine,girl,German
Parnel,boy,Latin
Nadyne,girl,French
Ahouva,girl,Hebrew
Lois,girl,Greek
Sigfryd,boy,German
Grigorije,boy,Unknown
Giavanna,girl,Italian
Tomina,girl,Aramaic
Ern,boy,British
Kandi,girl,British
Blakenee,girl,British
Khristya,girl,Latin
Anfernee,boy,Modern
Branlee,boy,British
Emille,girl,Latin
Jeeanima,girl,Italian
Lindesay,boy,British
Arniesha,girl,American
Hanna,girl,Hebrew
Barbara Rose,girl,Unknown
Petrova,girl,Greek
Kalvin,boy,Latin
Korynna,girl,Greek
Thordis,girl,Scandinavian
Kerilee,girl,Unknown
Medgar,boy,Unknown
Myeshia,girl,Arabic
Alyse,girl,Greek
Morella,girl,Irish
Pennelope,girl,Greek
Marnie,girl,Latin
Pommeray,boy,French
Jenufa,girl,Unknown
Aimy,girl,Latin
Jossalyn,girl,German
Zuleyma,girl,Arabic
Debroah,girl,Hebrew
Rochale,girl,Unknown
Marques,boy,Latin
Edelie,girl,German
Tamson,boy,British
Trevina,girl,Unknown
Sheredan,boy,Irish
Jineeva,girl,French
Kylilah,girl,Arabic
JasiAnna,girl,Unknown
Chereen,girl,French
Henka,girl,German
Thole,boy,Aramaic
Wallys,girl,Unknown
Dekwan,boy,American
Lollar,boy,Irish
Oles,boy,Unknown
Tanee,girl,Russian
Mathusela,boy,Hebrew
Tiaka,girl,Unknown
Shirlyn,girl,British
Rossalynn,girl,Unknown
Klementyna,girl,Unknown
Armantine,girl,German
Cob,boy,Hebrew
Herb,boy,German
Blagden,boy,British
Kietra,girl,Unknown
Masterman,boy,Unknown
Addyson,girl,British
Caysie,girl,Irish
Zanna,girl,Hebrew
Jonn,boy,British
Ballona,girl,Latin
Erryle,boy,Unknown
Orania,girl,French
Kanon,boy,French
Sybelle,girl,Greek
Sharlyn,girl,German
Abbigale,girl,Hebrew
Sjanoek,boy,Unknown
Semiramis,girl,Hebrew
Barron,boy,German
Annise,girl,Hebrew
Cathelle,girl,Greek
Alamar,boy,Arabic
Kassy,girl,Greek
Cluny,boy,Irish
Josephen,girl,Unknown
Rubio,boy,Spanish
Lidija,girl,Greek
Crystabella,girl,Latin
Otmar,boy,Unknown
Jovanka,girl,Unknown
Harlow,boy,British
Brunel,boy,French
Darah,girl,Hebrew
Karmelle,girl,Latin
Ramana,girl,Unknown
Dioniso,boy,Unknown
Jassmine,girl,Unknown
Hendries,boy,British
Abelardo,boy,German
Paddie,boy,Latin
Eaglin,girl,Latin
Lina,girl,Latin
Zefarina,girl,Spanish
Lidon,boy,Hebrew
Thora,girl,Scandinavian
Joananna,girl,Unknown
Eryle,boy,Unknown
Houston,boy,Irish
Saroja,girl,Unknown
Dareese,girl,Unknown
Adelia,girl,German
Shajjia,girl,Unknown
Mercey,girl,British
Vitale,boy,Latin
Javier,boy,Spanish
Vinni,girl,British
Minorca,girl,Unknown
Moya,girl,Norwegian
Jerriel,boy,Hebrew
Arsenia,girl,Spanish
Perdido,boy,Latin
Farand,boy,French
Chabeli,girl,Hebrew
Hubert,boy,German
Tiffni,girl,Unknown
Abd al Halim,boy,Arabic
Sileas,girl,Welsh
Soila,girl,Unknown
Aranrhod,girl,Welsh
Swithun,boy,British
Guadelupe,boy,Unknown
Squier,boy,British
Silas,boy,Latin
Abdallah,boy,Arabic
Emilion,boy,Latin
Killian,boy,Irish
Dharma,boy,Indian
Nicolae,boy,Unknown
Branislav,boy,Slavic
Hartwig,boy,German
Farzin,girl,Unknown
Langston,boy,British
Giovanna,girl,Italian
Marinus,boy,Latin
Tayla,girl,British
Warriner,boy,British
Wellbourn,boy,British
Derick,boy,German
Khalila,girl,Unknown
Chessney,girl,British
Shericia,girl,British
Harden,boy,British
Hendron,boy,British
Dhimani,boy,Indian
Branwell,boy,British
Hiawatha,boy,Unknown
Herminio,boy,German
Phillida,girl,Greek
Libi,girl,Unknown
Zakary,boy,Hebrew
Vennice,girl,Latin
Yacinta,girl,Italian
Maldon,boy,British
Livia,girl,Latin
Brockten,boy,British
Glendyn,boy,Irish
Rowenna,girl,German
Mazey,girl,British
Lindford,boy,British
Crandall,boy,British
Rayzel,girl,Yiddish
Joayn,girl,Unknown
Malak,boy,Arabic
Marnette,girl,Latin
Lycka,girl,Unknown
Tex,boy,Modern
Catreina,girl,Greek
Shinella,girl,American
Kaylleigh,girl,Gaelic
Margerete,girl,Unknown
Fairchild,boy,British
Damodar,boy,Indian
Wiliam,boy,Unknown
Hjalamar,boy,Norse
Guillema,girl,German
Kaprice,girl,American
Donohue,boy,Irish
Olexey,boy,Unknown
Aukelenuiaiku,boy,Hawaiian
Stasy,girl,British
Vasundhara,girl,Unknown
Verdie,girl,Slavic
Jivan,boy,Indian
Alondra,girl,Greek
Ephrym,boy,Hebrew
Gloree,girl,Latin
Axella,girl,German
Antuwayne,boy,French
Temp,boy,British
Catherinn,girl,Greek
Makana,girl,Unknown
Danelley,girl,Hebrew
Jabbar,boy,Arabic
Trotter,girl,Unknown
Crane,boy,British
Sula,girl,Scandinavian
Anwylle,girl,Welsh
Gaspar,boy,Persian
Millbourne,boy,British
Gregg,boy,Greek
Delfa,girl,Greek
Oona,girl,Scottish
Miksa,boy,Unknown
Cristovano,boy,Greek
Allicia,girl,German
Culley,boy,Irish
Shaban,boy,Unknown
Hiram,boy,Hebrew
Gryffen,boy,Latin
Bona,girl,Italian
Aldus,boy,Italian
Orquidea,girl,Spanish
Galiana,girl,Arabic
Tea,girl,Italian
Lynelle,girl,Welsh
Wakefield,boy,British
Mavis,girl,French
Chananya,boy,Hebrew
Matohinsda,boy,Unknown
Daline,girl,German
Delon,boy,American
Letice,girl,Latin
Alzina,girl,Greek
Bonifacy,boy,Latin
Nethania,girl,Hebrew
Rhydderch,boy,Welsh
Jacinthe,girl,Spanish
Itadi,boy,Unknown
Aimon,boy,German
Ortensa,girl,Italian
Kanai,boy,Unknown
Jozsefa,girl,Unknown
Camilla,girl,Latin
Imperatrix,girl,Latin
Yeremia,boy,Hebrew
Kadan,boy,Arabic
Veselin,boy,Unknown
Torio,boy,Japanese
Odo,boy,Scandinavian
Riply,boy,British
Galton,boy,British
Loribeth,girl,Unknown
Vladena,girl,Unknown
Jennavieve,girl,French
Joleisa,girl,Unknown
Lorella,girl,Unknown
Adila,girl,Arabic
Mykela,girl,Unknown
Deedre,girl,Irish
Ashraf,boy,Arabic
Maurene,girl,Latin
Barlowe,boy,British
Bobie,girl,German
Royalle,girl,French
Nealson,boy,Unknown
Whittaker,boy,British
Cleantha,girl,Greek
Crizant,boy,Spanish
Cleophas,boy,Greek
Violette,girl,Latin
Afiwa,girl,Ghanaian
Demitra,girl,Greek
Vonitia,girl,Latin
Mohegan,boy,Native American
Hippolytus,boy,Greek
Jianna,girl,American
Loyal,boy,British
Ansly,boy,British
Carylon,girl,German
Maslen,boy,French
Gerrit,boy,Danish
Rebba,girl,Hebrew
Seeley,boy,French
Jemar,boy,American
Khristyana,girl,Russian
Loribelle,girl,Unknown
Rhodric,boy,German
Delphinia,girl,Greek
Glennette,girl,Irish
Beauchamp,boy,French
Deonn,boy,Greek
Charmyn,girl,British
Edwyna,girl,British
John-Patrick,boy,Hebrew
Baptist,boy,Spanish
Leviticus,boy,Greek
Bertrade,girl,British
Maire,girl,Latin
Gitel,girl,Unknown
Auria,girl,Latin
Sedgley,boy,British
Celeste,girl,Latin
Nabil,boy,Arabic
Bly,boy,Norse
Cozette,girl,Greek
Pich,boy,Unknown
Eevonne,girl,German
Christena,girl,Latin
Bronsen,boy,British
Rexanna,girl,British
Absolom,boy,Hebrew
Miroslawa,girl,Unknown
Aladdin,boy,Arabic
Trentin,boy,Latin
Odellia,girl,Hebrew
Taghrid,girl,Unknown
Malvyn,boy,Unknown
Dessa,girl,Latin
Tahirih,girl,Unknown
Texana,girl,Unknown
Mounir,boy,Arabic
Galven,boy,Irish
Brendell,girl,Norse
Ridgeway,boy,British
Skipp,boy,British
Sundaran,boy,Unknown
Joyline,girl,Unknown
Attila,boy,Hungarian
Cedrick,boy,British
Harmoni,girl,Latin
Genette,girl,Unknown
Varrick,boy,German
Auda,girl,French
Nevil,boy,French
Penni,girl,Unknown
Marleah,girl,Hebrew
Quirina,girl,Latin
Hedda,girl,German
Placedo,boy,Spanish
Velinda,girl,Unknown
Flanagh,girl,Irish
Neecia,girl,Unknown
Cassandry,girl,Greek
Koby,boy,Hungarian
Kastor,boy,Greek
Claxton,boy,British
Brittiney,girl,Latin
Weatherell,boy,British
Gilliss,boy,Scottish
Mellicent,girl,Greek
McGown,boy,Irish
Efrayim,boy,Spanish
Tiana,girl,Russian
Habakkuk,boy,Hebrew
Brexton,boy,British
Taunya,girl,Unknown
Deriq,boy,German
Jwan,girl,Unknown
Amadeusz,boy,Latin
Neelmani,boy,Unknown
Kendalla,girl,Unknown
Jynice,girl,Unknown
Lashea,girl,Unknown
Ibtihaj,girl,Unknown
Zia,girl,Latin
Gefen,boy,Hebrew
Attilio,boy,Hungarian
Julaine,girl,Latin
Eleora,girl,Hebrew
Caitey,girl,Greek
Ignazio,boy,Unknown
Sissel,girl,Unknown
Fallyn,girl,Irish
Daimen,boy,Greek
Lyla,girl,British
Elyce,girl,Hebrew
Haely,girl,British
Ogunkeye,boy,Unknown
Ranelle,girl,American
Anniesse,girl,Greek
Babsen,boy,British
Alexey,boy,Greek
Kristienne,girl,Latin
Nanon,girl,Hebrew
Carisma,girl,Greek
Seldon,boy,British
Tryphana,girl,Greek
Giambattista,boy,Unknown
Alicja,girl,German
Cressa,girl,Greek
Pontius,boy,Latin
Tsigana,girl,Hungarian
Kennith,boy,Irish
Ritchard,boy,German
Hildagard,girl,German
Arien,boy,Greek
Megyn,girl,Unknown
Titos,boy,Latin
Basima,girl,Arabic
Colle,boy,Scottish
Joemar,boy,British
Keili,girl,Gaelic
Akemi,girl,Japanese
Antel,boy,Greek
Guilbert,boy,French
Verinka,girl,Slavic
Noll,boy,Latin
Gypsy,girl,British
Gilam,boy,Hebrew
Raissa,girl,Yiddish
Alomar,boy,Arabic
Harfurd,boy,British
Elize,girl,Hebrew
Bethann,girl,Hebrew
Edelfieri,boy,German
Ellene,girl,Greek
Nurine,girl,Aramaic
Adoree,girl,Latin
Eldoree,girl,Spanish
Dmitrios,boy,Greek
Gaston,boy,French
Lurene,girl,Unknown
Searra,girl,Latin
Kelsea,girl,British
Chrystol,girl,Unknown
Adallina,girl,German
Sirenia,girl,Greek
Penleigh,boy,British
Brydie,girl,Gaelic
Alize,girl,Hebrew
Natahnee,girl,American
Eleanore,girl,Greek
Tekla,girl,Greek
Yarona,girl,Hebrew
Esma,girl,French
Svetozar,boy,Unknown
Jemaica,girl,Unknown
Rise,girl,Latin
Tiona,girl,Russian
Paulinus,boy,Latin
Wlodzimierz,boy,Unknown
Najwa,girl,Unknown
Daleton,boy,British
Jammal,boy,Arabic
Dugan,boy,Irish
Alexanne,girl,Greek
Jorah,girl,Hebrew
Stephannie,girl,Greek
Sebreena,girl,Celtic
Casmire,boy,Slavic
Gunilla,girl,Norse
Joannie,girl,Unknown
Hogan,boy,Irish
Varena,girl,Latin
Broderic,boy,Irish
Holliann,girl,Unknown
Marguerita,girl,Greek
Georgianna,girl,Latin
Urit,girl,Hebrew
Kingslea,boy,British
Adalia,girl,Hebrew
Felicie,girl,Latin
Konstantyn,boy,Unknown
Dalziel,boy,Scottish
Belamy,boy,French
DeJuwan,boy,American
Karlens,boy,German
Charlotta,girl,German
Brianda,girl,Spanish
Brinly,boy,British
Dariell,boy,French
Alerick,boy,German
Keriana,girl,Irish
Arthurene,girl,Celtic
Shadiya,girl,Arabic
Hespero,boy,Greek
Arliene,girl,British
Elof,boy,Swedish
Steph,girl,Unknown
Arakne,girl,Greek
Ketreina,girl,Unknown
Tel,boy,Unknown
Shaylagh,girl,Irish
Genni,girl,Welsh
Karrina,girl,Unknown
Barbara,girl,Latin
Dwana,girl,Irish
Saleena,girl,Indian
Brendin,boy,Irish
Voni,girl,Unknown
Dustyn,boy,German
Orford,boy,British
Cornilius,boy,Latin
Nicolay,boy,Greek
Myiesha,girl,Arabic
Reem,girl,Unknown
Merissa,girl,Latin
Shaylin,girl,Unknown
Wendi,girl,Welsh
Whitcomb,boy,British
Bobi,girl,German
Audan,girl,Gaelic
Hamdi,boy,Unknown
Walteena,girl,Unknown
Renard,boy,German
McGowen,boy,Irish
Saxen,boy,British
Mahlon,boy,Hebrew
Dorlisa,girl,Greek
Paoletta,girl,Unknown
Ela,girl,Hebrew
Akela,girl,German
Melchisadeck,boy,Hebrew
Geron,boy,Irish
Nailer,boy,British
Pearcy,boy,Latin
Martinus,boy,Latin
Chrissanta,girl,Spanish
Fedele,boy,Latin
Jule,boy,Greek
Khuloud,girl,Unknown
Jecca,girl,Hebrew
Bucardo,boy,British
Breed,boy,Irish
Emiline,girl,Latin
Lafayette,boy,French
Jovonne,girl,Unknown
Gustaaf,boy,Scandinavian
Vitus,boy,Latin
Mone,girl,Unknown
Colleta,girl,French
Isolda,girl,Unknown
Magaley,girl,Greek
Lyzbette,girl,Hebrew
Gaddo,boy,Unknown
Joani,girl,Unknown
Smeralda,girl,Unknown
Rodney,boy,German
Anath,girl,Hebrew
Mollie,girl,Latin
Darja,girl,Unknown
Yasmyn,girl,Unknown
Ryder,boy,British
Beal,boy,French
Lorita,girl,Latin
Arthor,boy,Celtic
Seana,girl,Irish
Macaire,boy,Greek
Patresa,girl,Unknown
Eionia,girl,Unknown
Hanyel,boy,Hebrew
Maritina,girl,Unknown
Rochus,boy,Italian
Juanetta,girl,Spanish
Chyrill,girl,Greek
Tyffenie,girl,Greek
Shinji,boy,Unknown
Aithnea,girl,Irish
Vaseelia,girl,Unknown
Mohamed,boy,Arabic
Neander,boy,Greek
Stannes,boy,Slavic
Phyllie,girl,Greek
Evetta,girl,Latin
Rogers,boy,German
Williemae,girl,Unknown
Sealey,boy,French
Nikhel,boy,Indian
Dasha,girl,Greek
Zacqueline,girl,French
Tinisha,girl,Arabic
Ciriaco,boy,Italian
Iacovo,boy,Hebrew
Jerah,boy,Hebrew
Shelba,girl,Unknown
Dantel,boy,Spanish
Gwenith,girl,Welsh
Lucienne,girl,Latin
Enydd,girl,Welsh
Gilana,girl,Hebrew
Channary,girl,Unknown
Trixee,girl,British
Ragan,girl,Gaelic
Kailee,girl,Gaelic
Gerolt,boy,German
Cele,girl,Welsh
Cortenay,girl,French
Nalani,girl,Hawaiian
Loughlin,boy,Irish
Bretny,girl,Latin
Hadassah,girl,Hebrew
Virge,girl,Latin
Boyd,boy,Scottish
MacDowell,boy,Scottish
Pheodora,girl,Russian
Sandria,girl,British
Carmina,girl,Hebrew
Bartolomej,boy,Aramaic
Bridi,girl,Gaelic
Grace,girl,Latin
Soportevy,girl,Unknown
Chantella,girl,French
Roth,boy,German
Gorrell,boy,British
Erlie,boy,British
Busbey,boy,Scottish
Maylene,girl,British
Rayborn,boy,British
Eulogio,boy,Greek
Rosaley,girl,French
Kenza,girl,Scottish
Vohnda,girl,Italian
Stephanus,boy,Greek
Rayshell,girl,Unknown
Harald,boy,Scandinavian
Sigfryda,girl,German
Khrista,girl,Latin
Sydona,girl,Latin
Timofei,boy,Greek
Carmalita,girl,Hebrew
Parrey,boy,Welsh
Craston,boy,Unknown
Pellagia,girl,Greek
Hansina,girl,Hebrew
Derell,boy,French
Allexander,boy,Greek
Natallie,girl,Latin
Yasmeen,girl,Persian
Giacintha,girl,Spanish
Ursulette,girl,Scandinavian
Valena,girl,Latin
Ronand,boy,Unknown
Jenara,girl,Spanish
Sa'd,boy,Unknown
Reynardo,boy,German
Azuree,girl,Spanish
Joneen,girl,Unknown
Atlante,girl,Greek
Lindsayjean,girl,Unknown
Stanwood,boy,British
Lesli,girl,Scottish
Wulfram,boy,German
Girvon,boy,Irish
Oakleigh,boy,British
Taj,boy,Sanskrit
Elldred,boy,British
Tiandria,girl,Unknown
Gerall,boy,British
Darcie,girl,Irish
Presencia,girl,Unknown
Linnaea,girl,Scandinavian
Quiyanna,girl,American
Kasper,boy,Unknown
Raice,boy,British
Elbertina,girl,German
Lynne,girl,Spanish
Jonevah,girl,French
Mikaela,girl,Hebrew
Tamiah,girl,Unknown
Jyoti,girl,Unknown
Ceadda,boy,Unknown
Acquila,boy,Latin
Azize,girl,Hebrew
Elsdon,boy,British
Arturo,boy,Celtic
Kerryl,girl,German
Massie,boy,Unknown
Twana,girl,Unknown
Rechelle,girl,Unknown
Wandie,girl,Slavic
Kathelina,girl,Irish
Lary,boy,Latin
Emilyah,girl,Latin
Fayrouz,girl,Unknown
Swanhild,girl,German
Claribelle,girl,Latin
Iolande,girl,Spanish
Harrisson,boy,British
Gibbons,boy,British
Sook,girl,Unknown
John David,boy,Unknown
August,boy,Latin
Naomi,girl,Hebrew
Tosiya,girl,Slavic
Jeniqua,girl,Unknown
Antero,boy,Greek
Hildebrandt,boy,German
Pernilla,girl,Greek
Maffalda,girl,Spanish
Garett,boy,Unknown
Wardell,boy,British
Damario,boy,Spanish
Gregorine,girl,Latin
Gavino,boy,Welsh
Trevion,boy,British
Teron,boy,Unknown
Selbie,girl,British
Naresha,girl,Unknown
Annwyll,girl,Welsh
Lolita,girl,Spanish
Wiyakawastewin,girl,Unknown
Karinne,girl,Scandinavian
Wyckoff,boy,German
Taunisha,girl,Danish
Kavi,boy,Unknown
Ellmer,boy,British
Vesuvio,boy,Italian
Hoyt,boy,Norse
Madzia,girl,Hebrew
Tsifira,girl,Hebrew
Evangelista,girl,Greek
Alejandro,boy,Spanish
Kuuleilani,girl,Unknown
Mousa,boy,Unknown
Kiele,girl,Unknown
Agie,girl,Greek
Laroy,boy,American
Kattlin,boy,Irish
Hardin,boy,British
Latacha,girl,Unknown
Ethnah,girl,Irish
Kyley,girl,Unknown
Rayshawn,boy,American
Libbey,girl,Hebrew
Tirruan,girl,Welsh
Vern,boy,French
Zabulan,boy,Unknown
Cherith,girl,Unknown
Booker,boy,British
Shunagh,girl,Irish
Cezanne,girl,French
Sainsbury,boy,British
Abrienne,girl,Hebrew
Jakob,boy,Hebrew
Cledwyn,boy,Welsh
Amali,boy,Sanskrit
Bretta,girl,Latin
Desanka,girl,Unknown
Baldovino,boy,German
Chele,girl,British
Adrienna,girl,Latin
Joanelle,girl,Unknown
Sheriah,girl,Unknown
Cailie,girl,Irish
Pacifica,girl,Spanish
Leodora,girl,Greek
Leonelle,girl,Latin
Lourence,girl,Latin
Dorelia,girl,Greek
Rune,boy,Norse
Tonya,girl,Russian
Sherol,girl,Unknown
Liberio,boy,Latin
Fuchsia,girl,German
Ruprecht,boy,German
Tarali,girl,Unknown
Katzir,boy,Hebrew
Odilia,girl,Hebrew
Rhosan,girl,Unknown
Ilario,boy,Latin
Hollyanne,girl,Unknown
Valeria,girl,Latin
Beeatrix,girl,Latin
Alfio,boy,Italian
Crescence,girl,French
Queen,girl,British
Astrud,girl,Norse
Joellin,girl,French
Surayya,girl,Arabic
Eustolia,girl,Greek
Akua,girl,African
Amalina,girl,Latin
Aditya,boy,Sanskrit
Dahy,boy,Irish
Shinead,girl,Irish
Airin,girl,Gaelic
Faiza,girl,Unknown
Eirik,boy,Unknown
Zdeslav,boy,Unknown
Cooper,boy,British
Darrance,boy,American
Jin Joo,girl,Unknown
Caddis,boy,British
Yuliana,girl,Unknown
Mahra,girl,Hebrew
Shula,girl,Hebrew
Dilla,girl,Latin
Gerritt,boy,Danish
Almerine,girl,German
Esmiralde,girl,Spanish
Sibylla,girl,Greek
Sayeh,girl,Native American
Agustus,boy,Latin
Vianna,girl,Spanish
Hermann,boy,German
Candyss,girl,Latin
Marjohn,girl,Unknown
Janae,girl,American
Istban,boy,Unknown
Sherrydan,girl,Gaelic
Gridley,boy,British
Kardama,boy,Unknown
Chelsy,girl,British
Khristalle,girl,Greek
Hearst,boy,British
Prunella,girl,Latin
Kerran,girl,Danish
Maddalena,girl,Unknown
Edelgiso,boy,German
Eanid,girl,Welsh
Ninetta,girl,Spanish
Abbondio,boy,Latin
Kolline,girl,Gaelic
Jenifer,girl,Welsh
Oralee,girl,Hebrew
Elami,boy,Hebrew
Katitia,girl,Unknown
Bobijo,girl,American
Yaacob,boy,Hebrew
Marielle,girl,Latin
Udella,girl,British
Byrget,girl,Norwegian
Deanna,girl,British
Herminie,girl,German
Shaylynne,girl,Gaelic
Caroliana,girl,German
Duante,boy,Irish
Kimbo,boy,British
Claresta,girl,Latin
Ajax,boy,Greek
Agota,girl,Greek
Siubhan,girl,Unknown
Victer,boy,Unknown
Charlette,girl,German
Niquolle,girl,Greek
Jadielyn,girl,Unknown
Kace,girl,Irish
Gai,girl,French
Emylin,girl,German
Hawk,boy,British
Lap,boy,Unknown
Laverrne,girl,Latin
Felipo,boy,Greek
Beril,girl,Greek
Wachiwi,girl,Unknown
Dannyce,girl,Hebrew
Hurst,boy,British
Halfrida,girl,German
Jacarranda,girl,Unknown
Udall,boy,British
Seraphin,girl,Unknown
Carlein,girl,German
Nachum,boy,Hebrew
Mohamet,boy,Arabic
Cristina,girl,Spanish
Richardella,girl,German
Raphello,boy,Hebrew
Jeanete,girl,Unknown
Sherronda,girl,Unknown
Hyppolytos,boy,Greek
Lanette,girl,Welsh
Creola,girl,Portuguese
Freida,girl,German
Tyisha,girl,Arabic
Lamont,boy,Norse
Orabella,girl,Latin
Inocencio,boy,Italian
Barek,boy,Arabic
Marshon,boy,American
Korynn,girl,Greek
Damris,girl,Latin
Staffan,boy,Scandinavian
Wilmore,boy,German
Assi,girl,Norse
Waverlee,boy,British
Armoni,boy,Hebrew
Kaydan,boy,Arabic
Ambrose,boy,Greek
Lillie,girl,Latin
Gallatin,boy,American
Anjanette,girl,American
Octovien,boy,Latin
Carita,girl,Latin
Imojean,girl,Irish
Ifetayo,girl,Unknown
Domingo,boy,Latin
Gwen,girl,Welsh
Aliard,boy,German
Iulia,girl,Unknown
Arduino,boy,Italian
Ernalynn,girl,Norse
Upton,boy,British
Kacia,girl,American
Claribel,girl,British
Keshonda,girl,Unknown
Ginara,girl,Italian
Abdulla,boy,Arabic
Mendy,girl,Unknown
Winny,girl,Welsh
Cordia,girl,Latin
Herebeorht,boy,Unknown
Ottokar,boy,Unknown
Josslin,boy,German
Holle,girl,German
Billiejo,girl,Unknown
Ellender,girl,Unknown
Lyon,boy,French
Constantinus,boy,Latin
Barnabee,boy,Greek
Selyna,girl,Greek
Gouverneur,boy,Unknown
Rashel,girl,Unknown
Esperanza,girl,Spanish
Terrayne,girl,Unknown
Thresa,girl,Unknown
Sudhir,boy,Unknown
Judith,girl,Hebrew
Swensen,boy,Norse
Manases,boy,Hebrew
Vespera,girl,Latin
Juwanita,girl,Spanish
Ele,girl,Hawaiian
Malissande,girl,German
Shauntell,girl,French
Estrid,girl,Norse
Kristel,girl,Latin
Anasztasia,girl,Greek
Azalia,girl,Greek
Destrie,boy,British
Ellrod,boy,British
Kenelm,boy,British
Galliena,girl,German
Tameka,girl,Unknown
Taral,girl,Unknown
Ginnilee,girl,British
Yasmeena,girl,Persian
Vinton,boy,British
Tocoma,boy,Unknown
Aymi,girl,Latin
Frerika,girl,German
Ive,boy,French
Kiran,boy,Sanskrit
Simi,girl,Unknown
Orfea,girl,Greek
Ljubodrag,boy,Unknown
Fionola,girl,Unknown
Kristell,girl,Unknown
Ellspet,girl,Hebrew
Cordey,girl,Unknown
Ithamar,boy,Hebrew
Aryanie,girl,Greek
Dumbledore,boy,Unknown
Karra,girl,Latin
Fadelio,boy,Latin
Lorynne,girl,Unknown
Charman,girl,Unknown
Loralee,girl,German
Grishilde,girl,German
Ouray,boy,Unknown
Mehitable,girl,Hebrew
Creed,boy,Latin
Bradney,boy,British
Ysabel,girl,French
Aja,girl,Indian
Tabib,boy,Turkish
Tomasa,girl,Unknown
Simonna,girl,Hebrew
Bertrem,boy,German
Barbraann,girl,Latin
Sanne,girl,Unknown
Arkadius,boy,Spanish
Nikkolas,boy,Greek
Ymelda,girl,Italian
Jerryl,boy,British
Azalea,girl,Greek
Karalie,girl,Unknown
Caelia,girl,Latin
Lateeph,boy,Arabic
Viridian,girl,Latin
Scotto,boy,British
Kathi,girl,Greek
Joylin,girl,Unknown
Smiljana,girl,Unknown
Herin,boy,Celtic
Veedonia,girl,Portuguese
Siarah,girl,Unknown
Gayelle,girl,Hebrew
True,boy,British
Eldritch,boy,British
Godrick,boy,British
Loria,girl,British
Aggi,girl,Greek
Angla,girl,Greek
Anastasius,boy,Greek
Omolara,girl,Unknown
Harun,boy,Arabic
Peni'amina,boy,Unknown
Serendipity,girl,Unknown
Cassia,girl,Greek
Gelila,girl,Hebrew
Kodelia,girl,Unknown
Enedina,girl,Welsh
Yvon,boy,French
Korbyn,boy,Unknown
Fredie,girl,German
Belden,boy,French
Kordulla,girl,Latin
Dalisha,girl,Latin
Noralee,girl,Unknown
Luisa,girl,Spanish
Elveera,girl,German
Yashodhana,girl,Unknown
Agace,girl,Greek
Charmara,girl,British
Dotsen,boy,British
Wynnsfield,boy,British
Maydena,girl,British
Derwin,boy,British
Cranley,boy,British
Verdad,girl,Spanish
Evlynn,girl,Unknown
Jizelle,girl,American
Goldwinn,boy,British
Andersen,boy,Norwegian
Brigham,boy,British
Holt,boy,British
Tashina,girl,Russian
Aherin,boy,Celtic
